Taxon	AB1	CD2	EF3	GH4
d__Bacteria; p__Poribacteria; c__Poribacteria; o__Poribacteria; f__Poribacteria; g__Poribacteria; s__uncultured_Firmicutes	0	0	0	26
d__Bacteria; p__Armatimonadota; c__DG-56; o__DG-56; f__DG-56; g__DG-56; s__uncultured_bacterium	0	0	55	0
d__Bacteria; p__Armatimonadota; c__uncultured; o__uncultured; f__uncultured; g__uncultured	0	0	15	0
d__Bacteria; p__Chloroflexi; c__Dehalococcoidia	0	0	7	0
d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__Sh765B-TzT-20; f__Sh765B-TzT-20; g__Sh765B-TzT-20; s__uncultured_bacterium	0	0	20	0
d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Chloroflexaceae; g__Chloroflexus	0	21	0	0
d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Chloroflexaceae; g__Chloroflexus	0	82	0	0
d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Chloroflexaceae; g__Chloroflexus	0	70	0	0
d__Bacteria; p__Chloroflexi	0	0	0	12
d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__MSBL5; f__MSBL5; g__MSBL5	0	0	0	13
d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SBR1031; g__SBR1031; s__uncultured_organism	0	108	0	0
d__Bacteria; p__Chloroflexi; c__Dehalococcoidia	0	0	19	0
d__Bacteria; p__Chloroflexi; c__JG30-KF-CM66; o__JG30-KF-CM66; f__JG30-KF-CM66; g__JG30-KF-CM66	0	0	16	0
d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__uncultured; g__uncultured; s__uncultured_compost	0	0	17	0
d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__SAR202_clade; f__SAR202_clade; g__SAR202_clade	0	0	0	24
d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__SAR202_clade; f__SAR202_clade; g__SAR202_clade	0	0	18	0
d__Bacteria; p__Caldisericota; c__Caldisericia; o__Caldisericales; f__TTA-B1; g__TTA-B1; s__uncultured_bacterium	0	60	0	0
d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__Dehalococcoidales; f__uncultured; g__uncultured; s__uncultured_bacterium	0	0	73	0
d__Bacteria	0	0	0	6
d__Bacteria; p__Spirochaetota; c__Brevinematia; o__Brevinematales; f__Brevinemataceae; g__Brevinema; s__Desulfovibrio_sp.	0	33	0	0
d__Bacteria; p__Spirochaetota; c__Brevinematia; o__Brevinematales; f__Brevinemataceae; g__Brevinema; s__uncultured_bacterium	0	0	0	89
d__Bacteria; p__Spirochaetota; c__Brevinematia; o__Brevinematales; f__Brevinemataceae; g__Brevinema; s__uncultured_bacterium	0	57	0	0
d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__GW2011-GWA2-46-7; f__GW2011-GWA2-46-7; g__GW2011-GWA2-46-7; s__uncultured_bacterium	0	69	0	0
d__Bacteria; p__Dictyoglomota; c__Dictyoglomia; o__Dictyoglomales; f__Dictyoglomaceae; g__Dictyoglomus; s__Dictyoglomus_thermophilum	170	75	0	0
d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__S085; f__S085; g__S085; s__uncultured_bacterium	0	0	48	0
d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__S085; f__S085; g__S085; s__uncultured_bacterium	183	0	0	0
d__Bacteria; p__Firmicutes; c__Thermoanaerobacteria; o__Caldicellulosiruptorales; f__Caldicellulosiraptoraceae; g__Caldicellulosiruptor	95	0	0	0
d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Spirochaeta; s__uncultured_bacterium	0	0	0	22
d__Bacteria; p__Chloroflexi; c__Chloroflexi; o__Chloroflexi; f__Chloroflexi; g__Chloroflexi; s__uncultured_bacterium	0	42	0	0
d__Bacteria	0	268	0	0
d__Bacteria; p__Patescibacteria; c__Parcubacteria	0	0	0	38
d__Bacteria; p__Chloroflexi; c__Anaerolineae	0	0	0	102
